City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
210,aweil,8.7682,27.4002,27.73,65,98,1.87,SS,1686764871
211,fort bragg,35.139,-79.006,30.46,49,20,8.75,US,1686765178
212,tosontsengel,48.7567,98.2839,8.99,63,100,3.08,MN,1686765178
213,mayakonda,14.2833,76.0833,24.66,77,35,6.29,IN,1686765178
214,fujin,47.26,132.0322,13.7,90,87,2.16,CN,1686765178
215,college,64.8569,-147.8028,11.72,72,75,4.63,US,1686764621
216,naumburg,51.15,11.8167,20.98,69,86,1.78,DE,1686765179
217,cabo san lucas,22.8909,-109.9124,33.12,54,0,1.54,MX,1686764570
218,arsin,40.9496,39.9276,20.74,94,75,3.6,TR,1686765179
219,khovd,48.0056,91.6419,11.91,27,56,6.43,MN,1686765179
220,lompoc,34.6391,-120.4579,19.36,88,100,0.0,US,1686764624
221,igarka,67.4667,86.5833,7.67,77,97,5.54,RU,1686765180
222,santa cruz do rio pardo,-22.8989,-49.6325,15.84,98,100,1.82,BR,1686765180
223,chukhloma,58.7525,42.6825,15.12,67,20,1.88,RU,1686765180
224,ilulissat,69.2167,-51.1,3.01,81,20,2.57,GL,1686764699
225,kuusamo,65.9667,29.1833,21.02,24,0,4.63,FI,1686764629
226,troia,41.3631,15.3124,20.9,84,100,1.09,IT,1686765181
227,saint-philippe,-21.3585,55.7679,23.77,82,38,3.64,RE,1686765181
228,port douglas,-16.4833,145.4667,21.86,85,84,2.57,AU,1686764633
229,lusambo,-4.9667,23.45,21.84,93,92,1.75,CD,1686765182
230,la'ie,21.6477,-157.9253,25.98,83,31,4.02,US,1686765182
231,conkal,21.0667,-89.5333,36.03,44,75,3.09,MX,1686765182
232,chui,-33.6971,-53.4616,13.05,53,0,2.16,UY,1686764903
233,acapulco de juarez,16.8634,-99.8901,33.29,54,90,4.39,MX,1686765184
234,sao jose da coroa grande,-8.8978,-35.1478,26.03,85,43,5.44,BR,1686765184
235,port augusta,-32.5,137.7667,10.08,69,40,3.6,AU,1686765184
236,luderitz,-26.6481,15.1594,14.14,80,15,3.32,NA,1686764420
237,uliastay,47.7417,96.8444,15.15,45,100,3.75,MN,1686765184
238,muynoq,43.7683,59.0214,25.03,51,0,9.81,UZ,1686765200
239,san jose del cabo,23.0589,-109.6977,33.66,47,0,5.14,MX,1686765200
240,cuenca,-2.8833,-78.9833,20.07,52,75,4.63,EC,1686764934
241,saint joseph,39.7686,-94.8466,28.78,39,0,2.06,US,1686765201
242,puttaparthi,14.1652,77.8117,29.76,53,79,7.54,IN,1686765201
243,kodiak,57.79,-152.4072,7.73,81,100,5.14,US,1686764705
244,fale old settlement,-9.3852,-171.2468,28.55,68,54,5.21,TK,1686764737
245,marine corps base hawaii - mcbh,21.4453,-157.7513,25.98,87,49,1.79,US,1686765202
246,tsiombe,-25.3,45.4833,19.55,92,4,1.3,MG,1686764775
247,gamba,-2.65,10.0,23.26,89,96,3.48,GA,1686765202
248,nehe,48.4833,124.8333,13.94,69,99,2.26,CN,1686765202
249,atafu village,-8.5421,-172.5159,28.35,74,100,5.5,TK,1686764738
250,mantua,45.1667,10.7833,26.58,67,51,2.83,IT,1686764777
251,priyutnoye,46.1011,43.5072,23.71,70,24,3.18,RU,1686765202
252,esmeraldas,-19.7625,-44.3139,26.48,35,10,1.99,BR,1686765203
253,cape canaveral,28.4058,-80.6048,35.05,62,20,6.17,US,1686765203
254,papao,-17.75,-149.55,26.82,74,13,8.12,PF,1686764663
255,chiredzi,-21.05,31.6667,17.88,24,0,2.45,ZW,1686765204
256,sisimiut,66.9395,-53.6735,1.7,73,61,3.74,GL,1686764702
257,al burayqah,30.4062,19.5739,29.21,44,0,5.71,LY,1686765204
258,brandon,27.9378,-82.2859,35.18,64,0,7.2,US,1686765204
259,lorengau,-2.0226,147.2712,25.83,85,99,2.78,PG,1686765204
260,wetumpka,32.5437,-86.2119,29.79,89,86,4.77,US,1686765204
261,ouesso,1.6136,16.0517,23.03,95,60,0.37,CG,1686764840
262,nova sintra,14.8667,-24.7167,21.06,79,10,7.66,CV,1686764726
263,port isabel,26.0734,-97.2086,34.46,63,0,9.77,US,1686765212
264,valadares,41.1474,-7.9812,22.64,63,26,2.86,PT,1686765213
265,chernyshevskiy,63.0128,112.4714,6.66,74,64,2.32,RU,1686765213
266,ponta delgada,37.7333,-25.6667,21.4,88,40,4.12,PT,1686764948
267,san luis,-33.295,-66.3356,16.44,14,6,2.33,AR,1686765214
268,tarancon,40.0085,-3.0073,23.43,43,99,0.77,ES,1686765214
269,mount pleasant,32.7941,-79.8626,26.0,76,0,10.29,US,1686765063
